('201504_15040206_85_940', tensor(92.3437))
('201504_15040306_80_950', tensor(60.3705))
('201504_15040418_40_996', tensor(52.2397))
('201504_15040500_35_1000', tensor(44.8252))
('201504_15040618_0_1008', tensor(0.0002))
('201505_15040506_35_998', tensor(32.1572))
('201506_15050312_0_1004', tensor(11.1006))
('201506_15050318_35_1000', tensor(69.8771))
('201506_15050400_35_998', tensor(4.2528))
('201506_15050406_35_996', tensor(60.9108))
('201506_15050500_45_992', tensor(37.2451))
('201506_15050518_60_985', tensor(52.9636))
('201506_15050600_60_985', tensor(90.1603))
('201506_15050800_85_955', tensor(74.0321))
('201506_15050918_100_935', tensor(84.0994))
('201506_15051000_110_920', tensor(76.6525))
('201506_15051200_65_985', tensor(64.7638))
('201508_15062212_45_985', tensor(43.8886))
('201508_15062318_40_990', tensor(41.1458))
('201508_15062400_45_985', tensor(37.8052))
('201508_15062406_40_990', tensor(40.2353))
('201510_15070300_35_998', tensor(52.5050))
('201510_15070406_45_985', tensor(50.2554))
('201510_15070818_50_980', tensor(17.4081))
('201510_15071000_0_1000', tensor(23.8161))
('201511_15070306_0_1002', tensor(23.1129))
('201511_15070518_55_980', tensor(69.3097))
('201511_15070600_60_975', tensor(59.4917))
('201511_15070700_85_945', tensor(63.0058))
('201511_15070718_100_925', tensor(54.1312))
('201511_15070912_100_925', tensor(55.7389))
('201511_15071006_95_930', tensor(9.3649))
('201511_15071306_75_955', tensor(74.7549))
('201511_15071312_80_950', tensor(75.8933))
('201511_15071318_80_950', tensor(71.3938))
('201511_15071400_80_950', tensor(80.7614))
('201511_15071606_70_960', tensor(76.6135))
('201511_15071712_0_998', tensor(0.0002))
('201511_15071718_0_1002', tensor(1.7930))
('201511_15071800_0_1004', tensor(2.9305))
('201511_15071806_0_1004', tensor(0.0708))
('201512_15071406_70_970', tensor(85.5065))
('201512_15071412_70_970', tensor(59.3902))
('201512_15071418_65_975', tensor(74.8064))
('201512_15071600_55_985', tensor(80.6798))
('201512_15071606_50_990', tensor(75.7387))
('201512_15071612_40_996', tensor(37.5003))
('201512_15071618_35_1000', tensor(12.0501))
('201512_15071800_0_1004', tensor(77.4911))
('201512_15071806_0_1004', tensor(27.5114))
('201512_15071812_0_1008', tensor(3.3591))
('201512_15072012_50_990', tensor(60.5181))
('201512_15072400_75_965', tensor(54.3247))
('201513_15080518_90_935', tensor(77.8440))
('201513_15080818_55_980', tensor(79.9756))
('201513_15080900_40_992', tensor(31.1698))
('201513_15081018_0_1000', tensor(49.0376))
('201513_15081118_0_1000', tensor(0.0002))
('201513_15081200_0_1000', tensor(1.2425))
('201515_15081418_35_1000', tensor(51.7663))
('201515_15081500_45_994', tensor(77.8294))
('201515_15081506_45_992', tensor(83.1362))
('201515_15081606_60_980', tensor(57.8490))
('201515_15081706_95_935', tensor(90.5891))
('201515_15081806_95_935', tensor(107.1412))
('201515_15082000_90_940', tensor(89.0640))
('201515_15082006_85_945', tensor(96.7118))
('201515_15082100_85_945', tensor(46.9185))
('201515_15082106_85_945', tensor(71.3924))
('201515_15082706_0_1000', tensor(22.7695))
('201515_15082712_0_1002', tensor(29.1061))
('201515_15082718_0_1002', tensor(39.0185))
('201515_15082818_0_1006', tensor(0.0002))
('201515_15082900_0_1006', tensor(1.9499))
('201804_18060500_35_1000', tensor(0.0002))
('201804_18060506_35_1000', tensor(15.5759))
('201804_18060512_35_1000', tensor(106.6921))
('201804_18061018_0_998', tensor(0.0002))
('201805_18060506_0_1004', tensor(28.4507))
('201807_18070118_60_970', tensor(47.6206))
('201809_18071712_40_994', tensor(56.7529))
('201809_18072418_0_1000', tensor(41.8032))
('201811_18072312_35_998', tensor(76.6929))
('201811_18072318_40_996', tensor(71.4393))
('201811_18072500_50_990', tensor(5.1386))
('201811_18072506_50_990', tensor(37.3913))
('201813_18080218_0_1000', tensor(32.1624))
('201813_18080600_70_970', tensor(9.0719))
('201813_18080818_65_975', tensor(16.9796))
('201818_18081806_0_0', tensor(8.8085))
('201818_18081912_0_0', tensor(12.2787))
('201820_18081912_0_0', tensor(11.7525))
('201820_18082300_80_955', tensor(31.9407))
('201821_18090512_0_980', tensor(20.7311))
('201821_18090518_0_980', tensor(10.6763))
('201823_18091000_0_1006', tensor(55.1892))
('201824_18092200_50_994', tensor(45.3430))
('201824_18092218_65_975', tensor(81.1016))
('201824_18092300_70_970', tensor(69.6241))
('201824_18092306_80_955', tensor(73.4946))
('201824_18092400_95_935', tensor(96.8525))
('201824_18092812_85_950', tensor(86.9209))
('201825_18100100_90_940', tensor(103.0175))
('201827_18111718_35_1006', tensor(48.5461))
('201908_19080606_45_996', tensor(96.3338))
('201910_19080700_50_990', tensor(56.5255))
('201910_19081012_65_965', tensor(60.1118))
('201910_19081612_45_984', tensor(3.1128))
